web-scraper-order,web-scraper-start-url,type_chaussures,Prix,Adresse,Image_lien,Image_lien-href
"1739393952-341","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","12 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2735476"
"1739393952-342","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures fille","10 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-2734564"
"1739393952-343","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfant","3 500CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2734509"
"1739393952-344","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2733477"
"1739393952-345","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Patte d'oie, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2732252"
"1739393952-346","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","Prix sur demande","Mamelles, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-2726794"
"1739393952-347","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour enfants","8 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfants-2726067"
"1739393952-348","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2720321"
"1739393952-349","https://sn.coinafrique.com/categorie/chaussures-enfants","Sandales Adidas Yeezy","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/sandales-adidas-yeezy-2717389"
"1739393952-350","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfant","Prix sur demande","Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2710760"
"1739393952-351","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Fass, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2705566"
"1739393952-352","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2686221"
"1739393952-353","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","10 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2671653"
"1739393952-354","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","3 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2658958"
"1739393952-355","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","3 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2658953"
"1739393952-356","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2655658"
"1739393952-357","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","5 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2646040"
"1739393952-358","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2642974"
"1739393952-359","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2629141"
"1739393952-360","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2623386"
"1739393952-361","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2621862"
"1739393952-362","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures garçon","6 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-garcon-2621852"
"1739393952-363","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures garçons","6 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-garcons-2621850"
"1739393952-364","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures fille","6 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-2621842"
"1739393952-365","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures fille","6 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-2621836"
"1739393952-366","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures fille","6 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-2621830"
"1739393952-367","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2612829"
"1739393952-368","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2606174"
"1739393952-369","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2601784"
"1739393952-370","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Ouest Foire, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2594069"
"1739393952-371","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","8 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2584194"
"1739393952-372","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Ouakam, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2543182"
"1739393952-373","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Fass, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2530121"
"1739393952-374","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike Air Max","Prix sur demande","Fass, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-air-max-2526613"
"1739393952-375","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2486553"
"1739393952-376","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484023"
"1739393952-377","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484019"
"1739393952-378","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","7 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484015"
"1739393952-379","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","5 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484004"
"1739393952-380","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Jordan","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-2481675"
"1739393952-381","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","8 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2480205"
"1739393952-382","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","8 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2480204"
"1739393952-383","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 500CFA","Biscuiterie, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2477046"
"1739393952-384","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","7 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2476350"
"1739393952-385","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","5 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2476339"
"1739393952-386","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2472307"
"1739393952-387","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2472298"
"1739393952-388","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2472283"
"1739393952-389","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2460623"
"1739393952-390","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2460595"
"1739393952-391","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2456502"
"1739393952-392","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2452832"
"1739393952-393","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Grand Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2447627"
"1739393952-394","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2444887"
"1739393952-395","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","4 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2444525"
"1739393952-396","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Ouakam, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2443725"
"1739393952-397","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","5 500CFA","Ouakam, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2443709"
"1739393952-398","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Ouakam, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2443671"
"1739393952-399","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2443093"
"1739393952-400","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour filles","12 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-filles-2439527"
"1739393952-401","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","8 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2431711"
"1739393952-402","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","8 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2431710"
"1739393952-403","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","4 500CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2430991"
"1739393952-404","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Guediawaye, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2430002"
"1739393952-405","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2428992"
"1739393952-406","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","8 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2428826"
"1739393952-407","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2428822"
"1739393952-408","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","8 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2428820"
"1739393952-409","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2425191"
"1739393952-410","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","30 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2420883"
"1739393952-411","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","2 200CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2420872"
"1739393952-412","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé fille o-1 mois","3 000CFA","Sicap Liberté, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-fille-o-1-mois-2415033"
"1739393952-413","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2413078"
"1739393952-414","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2410519"
"1739393952-415","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","10 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2406863"
"1739393952-416","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2406856"
"1739393952-417","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2406756"
"1739393952-418","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","9 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2394786"
"1739393952-419","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","9 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2394785"
"1739393952-420","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","9 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2394784"
"1739393952-421","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures Enfants","9 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2394779"
"1739393952-422","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures talons / enfants","8 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-talons-enfants-2387260"
"1739393952-423","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2387223"
"1739393952-424","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","5 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2386398"
"1739393952-425","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2384995"
"1739393952-426","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2384989"
"1739393952-427","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","5 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2374657"
"1739393952-428","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2373859"
"1739393952-429","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","7 000CFA","Grand Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2372034"
"1739393952-430","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","2 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-2370678"
"1739393952-431","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2368631"
"1739393952-432","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2368597"
"1739393952-433","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2368592"
"1739393952-434","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2362995"
"1739393952-435","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2358530"
"1739393952-436","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2358522"
"1739393952-437","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2355164"
"1739393952-438","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-2355154"
"1739393952-439","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2353584"
"1739393952-440","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2347318"
"1739393952-441","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-2342498"
"1739393952-442","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2338432"
"1739393952-443","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2338242"
"1739393952-444","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","7 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2325327"
"1739393952-445","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussettes enfants 0 à 12 ans","2 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussettes-enfants-0-a-12-ans-2309761"
"1739393952-446","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","7 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2309224"
"1739393952-447","https://sn.coinafrique.com/categorie/chaussures-enfants","Bottes de pluie","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/bottes-de-pluie-2306870"
"1739393952-448","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","5 000CFA","Fass, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2267587"
"1739393952-449","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures  enfant","8 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2232916"
"1739393952-450","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2232803"
"1739393952-451","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2232790"
"1739393952-452","https://sn.coinafrique.com/categorie/chaussures-enfants","Claquettes enfant","10 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfant-2226824"
"1739393952-453","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2226808"
"1739393952-454","https://sn.coinafrique.com/categorie/chaussures-enfants","Mocassins enfant","3 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/mocassins-enfant-2215961"
"1739393952-455","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour enfant","15 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-2194875"
"1739393952-456","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour bébé","1 500CFA","Les Parcelles Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-bebe-2183732"
"1739393952-457","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","25 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2159342"
"1739393952-458","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","25 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2155033"
