web-scraper-order,web-scraper-start-url,Types_habits,Prix,Adresse,Image_lien,Image_lien-href
"1739226162-809","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2755635"
"1739226162-810","https://sn.coinafrique.com/categorie/vetements-enfants","Robe pour fillette","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-fillette-2755628"
"1739226162-811","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement enfant","4 900CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-2754017"
"1739226162-812","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalon jeans enfant","4 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-jeans-enfant-2754003"
"1739226162-813","https://sn.coinafrique.com/categorie/vetements-enfants","T-shirts filles","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/t-shirts-filles-2752944"
"1739226162-814","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfants","Prix sur demande","Fass, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-2750061"
"1739226162-815","https://sn.coinafrique.com/categorie/vetements-enfants","Robe","5 000CFA","Hann Bel-Air, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-2749797"
"1739226162-816","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-2746833"
"1739226162-817","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble bébé","11 000CFA","Grand Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2743223"
"1739226162-818","https://sn.coinafrique.com/categorie/vetements-enfants","Patibato bébé","2 500CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/patibato-bebe-2742338"
"1739226162-819","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble 5 pièces","12 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-5-pieces-2742301"
"1739226162-820","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","9 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-2741154"
"1739226162-821","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble Vêtement Enfants","9 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-vetement-enfants-2741144"
"1739226162-822","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2738771"
"1739226162-823","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant coton 100%","12 000CFA","Guediawaye, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-coton-100-2736363"
"1739226162-824","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","5 000CFA","Sicap Liberté, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-2735012"
"1739226162-825","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements pour bébé","10 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-bebe-2733550"
"1739226162-826","https://sn.coinafrique.com/categorie/vetements-enfants","Robe pour bébé","4 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-bebe-2732602"
"1739226162-827","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement bébé","2 000CFA","Almadies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-bebe-2732177"
"1739226162-828","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble robe  bébé","5 500CFA","Grand Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-robe-bebe-2732121"
"1739226162-829","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement Enfants","2 500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2731820"
"1739226162-830","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble jogging","12 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-jogging-2729083"
"1739226162-831","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","Prix sur demande","Grand Dakar, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-2723988"
"1739226162-832","https://sn.coinafrique.com/categorie/vetements-enfants","Robe wax enfant","4 000CFA","Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-wax-enfant-2720039"
"1739226162-833","https://sn.coinafrique.com/categorie/vetements-enfants","Robe de fête","1 000CFA","Guediawaye, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-de-fete-2717833"
"1739226162-834","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement Enfants","Prix sur demande","Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2710758"
"1739226162-835","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement Enfants","Prix sur demande","Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2710757"
